"source","id","doi","title","authors","journal","published_date","url","abstract"
"biorxiv","10.64898/2026.09.10.750691","10.64898/2026.09.10.750691","Mechanistic Interpretability of Protein Language Models Reveals Encoded Structural and Functional Properties of Intrinsically Disordered Proteins","Lauren E Naworski; Lydia L Good; Rob Scrutton; Tuomas P.J. Knowles","bioRxiv","2026-09-13","https://www.biorxiv.org/content/10.64898/2026.09.10.750691","Protein language models (PLMs) such as ESM-2 encode protein sequences as embeddings for downstream tasks. PLMs are trained on a masked learning objective that leverages evolutionary constraints. While interpretability studies of ESM-2 have focused on folded proteins, their behavior on intrinsically disordered proteins (IDPs), which constitute a substantial fraction of the human proteome and are implicated in numerous diseases, remains understudied. Because IDPs experience different types of evolutionary constraints on their amino acid sequences, we hypothesized that PLMs would behave differently on disordered versus folded regions. Here we show that ESM-2 exhibits reduced attention on disordered regions, yet still encodes meaningful biological signals. The model assigns heightened attention to disease-relevant residues even at high levels of disorder. Moreover, we show that both the radius of gyration and individual dynamic contact maps, key characteristics of IDPs, can be obtained from the model logits and embeddings. These findings suggest PLMs capture valuable information relevant to IDP biology despite their bias toward structured residues."
"biorxiv","10.64898/2026.09.10.750412","10.64898/2026.09.10.750412","Agentic-AI-ready genome-wide poxvirus-host interaction screen refined by a protein language model","Jacob Anter; Jason Mercer; Artur Yakimovich","bioRxiv","2026-09-13","https://www.biorxiv.org/content/10.64898/2026.09.10.750412","Recent mpox outbreaks highlight the necessity to understand the interactions between poxviruses and the human host. These can be discovered systematically through screening for host genes involved in infection at the single-cell level using RNA interference. However, off-target effects and assay noise obscure true gene-phenotype relationships, hampering the discovery of therapeutically relevant targets. Here, we show that integrating protein-protein interaction information derived from a protein language model boosts the discovery of vaccinia virus-host interactions. We propose ICARus - a positive-unlabelled read-out refinement framework to achieve this. Our approach enhances the identification of human genes with potential antiviral function. We provide the raw and refined read-outs of a genome-wide screen for vaccinia virus host factors as an agentic-AI-enabled community resource. Our findings provide a generalisable strategy for robust hit prioritisation in functional screens, accelerating discovery across complex biological systems."
"biorxiv","10.64898/2026.09.10.750468","10.64898/2026.09.10.750468","A new class of inherently efficient SUMOylation substrates","Cisse EH; Visticot L; Cepa R; Mishra A; Coste F; Goffinont S; Mance L; Battault S; Guigneau D; Talhaoui I; Castaing B; Aucagne V; Defossez P; Suskiewicz MJ","bioRxiv","2026-09-13","https://www.biorxiv.org/content/10.64898/2026.09.10.750468","SUMOylation is an essential eukaryotic ubiquitin-like post-translational modification that plays a central role in the regulation of various nuclear processes and stress responses. It canonically occurs at lysine residues within ΨKXE consensus motifs that lie in intrinsically disordered regions or loops and interact specifically with the SUMO-conjugating E2 enzyme UBC9. However, many detected SUMOylation sites are found within structured domains, and it remains unclear how these are recognised by UBC9. Here, we investigated the SUMOylation of Lys43 in the BTB domain of human ZBTB38 (ZBTB38BTB), a lysine located within a rigid β-sheet. By combining X-ray crystallography, structural prediction, and in-vitro UBC9 interaction and SUMOylation assays, we show that ZBTB38BTB possesses a dedicated surface that recapitulates the spatial arrangement of residues found in canonical linear consensus motifs. This surface binds UBC9 with mid-micromolar affinity and is predicted to position Lys43 in its active site for efficient SUMOylation. Structural modelling and sequence analyses suggest that this property is shared by BTB domains of five members (10%) of the ZBTB-protein family across vertebrates, revealing a previously unrecognised property of a subset of ZBTBBTB domains. Kinetic analyses reveal that, under the reaction conditions used, the catalytic efficiency of ZBTB38BTB and ZBTB33BTB SUMOylation are closely comparable to that of the C-terminal domain of RANGAP1, the best-characterised and most efficiently SUMOylated substrate known. This defines a new class of inherently efficient, E3 ligase-independent SUMOylation substrates beyond RANGAP1 and suggests that structural pre-organisation of the acceptor lysine and its environment may promote productive UBC9 engagement. Lastly, we demonstrate the presence of higher-molecular-weight, modified forms of ZBTB38 in human cells, consistent with SUMOylation. Together, these results provide a biochemical basis for interpreting existing and designing future studies on the functional impact of ZBTB SUMOylation. More broadly, our findings offer insights into the determinants of efficient SUMOylation, and may facilitate the identification of further inherently efficient targets, and, potentially, the design of SUMOylation modulators."
